Địa điểm khởi hành,Địa điểm đến,Hãng hàng không,Số hiệu chuyến bay,Ngày khởi hành,Giờ khởi hành,Giờ đến,Thời gian bay,Giá,Hạng vé
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"1,577,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ321,05/07/2024,05:40,06:40,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ329,05/07/2024,15:15,16:25,01h 10m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ331,05/07/2024,15:35,16:35,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ337,05/07/2024,20:15,21:15,01h 0m,"1,594,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"1,706,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"1,823,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"1,823,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"1,823,000 VND",Phổ thông tiết kiệm
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ325,05/07/2024,10:15,11:15,01h 0m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietjet Air,VJ327,05/07/2024,12:35,13:35,01h 0m,"1,854,000 VND",Eco
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"1,939,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"1,939,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"1,939,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1835,05/07/2024,17:10,18:10,01h 0m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7825,05/07/2024,20:30,21:30,01h 0m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Pacific Airlines,VN8021,05/07/2024,18:50,20:00,01h 10m,"2,042,000 VND",Phổ thông tiêu chuẩn
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN1835,05/07/2024,17:10,18:10,01h 0m,"2,147,000 VND",
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7825,05/07/2024,20:30,21:30,01h 0m,"2,147,000 VND",
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7841,05/07/2024,00:20,01:20,01h 0m,"2,147,000 VND",
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7843,05/07/2024,00:50,01:50,01h 0m,"2,147,000 VND",
Hồ Chí Minh (SGN),Phú Quốc (PQC),Vietnam Airlines,VN7845,05/07/2024,01:00,02:00,01h 0m,"2,147,000 VND",
